sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
54,5.400,0.682423711,0.062972449,-0.055012297,0.538776457,0.946130693,0.489655554,0.417124242
55,5.500,0.682423711,0.062889859,-0.054479945,0.538062334,0.947059095,0.478991687,0.417475253
56,5.600,0.682423711,0.062855810,-0.054260030,0.534532666,0.947443247,0.459584892,0.418298960
57,5.700,0.682423711,0.062841766,-0.053739078,0.528406441,0.947601914,0.425042987,0.419979274
58,5.800,0.682423711,0.063677818,-0.053271409,0.518458724,0.947667539,0.402363718,0.421385705
59,5.900,0.682423711,0.064205058,-0.052736759,0.509589314,0.947694600,0.385675460,0.421963811
60,6.000,0.682423711,0.064767644,-0.052516241,0.505457103,0.947705805,0.377168953,0.422201544
61,6.100,0.682921112,0.066496722,-0.052424375,0.499888808,0.947526157,0.373890847,0.422749251
62,6.200,0.684747398,0.070083924,-0.052386407,0.494318366,0.947505057,0.372609288,0.422525704
63,6.300,0.686703861,0.074809372,-0.052516352,0.490730613,0.947636366,0.373511583,0.422427535
64,6.400,0.687497139,0.079903781,-0.053450271,0.489521086,0.947417676,0.376368523,0.422393560
65,6.500,0.688614666,0.083970562,-0.053833071,0.489033967,0.947485685,0.378775537,0.422379613
66,6.600,0.688826978,0.085920624,-0.053992566,0.488649577,0.947619259,0.384907842,0.422373801
67,6.700,0.689166307,0.088817380,-0.054058611,0.485989749,0.947674632,0.390566945,0.422371387
68,6.800,0.689489543,0.091337487,-0.054086026,0.479820043,0.947697639,0.392873406,0.422370404
69,6.900,0.690335751,0.093062826,-0.054097313,0.473465770,0.947707117,0.393805265,0.422369987
70,7.000,0.690815806,0.094394393,-0.053754453,0.465877742,0.947711051,0.394183189,0.422369808
71,7.100,0.691012919,0.096945889,-0.053466797,0.462823421,0.947712660,0.393841147,0.421341717
72,7.200,0.691093683,0.098444819,-0.052816320,0.460745841,0.947713315,0.393170297,0.420920014
73,7.300,0.691126943,0.099057406,-0.052548122,0.459725350,0.947713554,0.392217457,0.420746297
74,7.400,0.691140711,0.098567724,-0.052437689,0.459310591,0.947713673,0.389420509,0.420674771
75,7.500,0.691146374,0.097238295,-0.049806766,0.459140807,0.947713733,0.386179984,0.421488672
76,7.600,0.690821052,0.096454591,-0.041694187,0.459065735,0.946700096,0.383328646,0.422042966
77,7.700,0.691013575,0.095161512,-0.038712017,0.459039897,0.946271837,0.379585415,0.422234148
78,7.800,0.691093564,0.094626017,-0.037496839,0.458408237,0.946094275,0.375464916,0.423052371
79,7.900,0.690672517,0.095524132,-0.036999635,0.457744926,0.946020603,0.371741146,0.423528999
80,8.000,0.690952480,0.097315602,-0.036170118,0.453728735,0.944966018,0.367917508,0.423709989
81,8.100,0.691068292,0.099329986,-0.035428096,0.449292153,0.944530547,0.364075065,0.423784047
82,8.200,0.691116273,0.100973606,-0.035122592,0.445763230,0.944350660,0.361211509,0.423729181
83,8.300,0.691031635,0.104128815,-0.034995783,0.444315404,0.944275856,0.359001517,0.423955411
84,8.400,0.691101491,0.107145242,-0.034943264,0.442245483,0.943898022,0.356113225,0.423859656
85,8.500,0.691130161,0.110875681,-0.034921732,0.436950505,0.943147659,0.352974623,0.424009502
86,8.600,0.691142023,0.112400956,-0.034912813,0.432422966,0.942123771,0.349797308,0.424071610
87,8.700,0.691146970,0.113019943,-0.034909144,0.430408806,0.939725041,0.341116756,0.424097180
88,8.800,0.691065013,0.113271736,-0.034907639,0.424588144,0.937906921,0.328890502,0.424107671
89,8.900,0.691118598,0.113381594,-0.035234690,0.418811500,0.935359359,0.298299074,0.424112260
90,9.000,0.691137135,0.113419503,-0.036063660,0.416787684,0.933672965,0.278240472,0.424113870
91,9.100,0.690413892,0.113435313,-0.036409564,0.415959239,0.930616498,0.260836333,0.425088704
92,9.200,0.689967394,0.113441817,-0.036551900,0.413227707,0.914837599,0.240896627,0.432903111
93,9.300,0.689637840,0.113444500,-0.036610488,0.407961786,0.895169854,0.232335880,0.451996714
94,9.400,0.689501345,0.113445617,-0.036634766,0.405125231,0.885749042,0.229406685,0.472990513
95,9.500,0.689561725,0.113446072,-0.037382416,0.403973788,0.882085800,0.235041171,0.482529968
96,9.600,0.689564645,0.114182733,-0.039620340,0.404624254,0.880635440,0.240834370,0.487103790
97,9.700,0.689769745,0.116471879,-0.041444641,0.407759994,0.880050659,0.245405048,0.489092082
98,9.800,0.689686954,0.118970297,-0.042826310,0.410371691,0.879794717,0.251091242,0.489947766
99,9.900,0.689851165,0.120767824,-0.044145897,0.411267161,0.879707515,0.256981879,0.490236014
100,10.000,0.689931095,0.122338399,-0.044870280,0.411637515,0.879671395,0.259839118,0.490354508
101,10.100,0.689916790,0.123264633,-0.045167677,0.410424232,0.879656553,0.260501057,0.490403086
102,10.200,0.689925909,0.123649828,-0.045784470,0.407262146,0.879650354,0.260320783,0.489896536
103,10.300,0.689803183,0.124547809,-0.046569001,0.405555040,0.878284454,0.260164529,0.489192426
104,10.400,0.689794719,0.125203341,-0.046894733,0.404237002,0.867914736,0.260099709,0.489674091
105,10.500,0.690105259,0.125473022,-0.047028888,0.402669966,0.858342230,0.260694355,0.489675730
106,10.600,0.689858139,0.125584602,-0.047413249,0.401939929,0.854400218,0.262574703,0.489792734
107,10.700,0.689592421,0.125631019,-0.048268300,0.401637614,0.852808177,0.265484869,0.489278257
108,10.800,0.689474285,0.125651628,-0.048647679,0.401503831,0.851489007,0.275579751,0.489530623
109,10.900,0.689433753,0.125658691,-0.048777457,0.401458085,0.849930942,0.288081139,0.489879787
110,11.000,0.689416945,0.125661626,-0.049759421,0.401439160,0.848930895,0.296949595,0.489185065
111,11.100,0.688803375,0.125662833,-0.050259590,0.401431322,0.848520100,0.300713211,0.488897085
112,11.200,0.688136339,0.125663340,-0.050956596,0.401428044,0.848350704,0.303788394,0.488777667
113,11.300,0.687858045,0.126399681,-0.052798394,0.401426703,0.848280191,0.307007372,0.488546789
114,11.400,0.687924206,0.127614528,-0.052625146,0.402165741,0.848250806,0.314566970,0.487609565
115,11.500,0.689139366,0.128519341,-0.052469507,0.404374719,0.848861694,0.331547499,0.486873537
116,11.600,0.690404654,0.128918871,-0.051664557,0.410263658,0.849561691,0.350444347,0.485821337
117,11.700,0.691686451,0.129056677,-0.051050253,0.414236784,0.850608826,0.356991619,0.484613419
118,11.800,0.692395210,0.128932163,-0.049511205,0.416559696,0.852283955,0.359559059,0.483935267
119,11.900,0.694560707,0.128445610,-0.046424113,0.421500295,0.854065180,0.357744247,0.483032405
120,12.000,0.695634365,0.128578097,-0.044034347,0.430570096,0.857458353,0.356745273,0.482256383
121,12.100,0.696075916,0.128071904,-0.041677374,0.436354071,0.859847009,0.356335849,0.481936425
122,12.200,0.696815908,0.127684116,-0.039133437,0.441935390,0.861226916,0.356166989,0.481804401
123,12.300,0.697190166,0.128357515,-0.037669256,0.449977934,0.861795664,0.356096715,0.481749535
124,12.400,0.697383761,0.128826886,-0.037067614,0.453302473,0.861402154,0.356067538,0.481379181
125,12.500,0.697415233,0.129019976,-0.036821939,0.454631180,0.860839307,0.355891168,0.480545074
126,12.600,0.697418869,0.129099146,-0.036721658,0.455164909,0.860608518,0.355662316,0.480203420
127,12.700,0.696813464,0.129131526,-0.036680728,0.455380470,0.860513985,0.358472586,0.479319811
128,12.800,0.696709573,0.129144937,-0.036663797,0.455469072,0.860474825,0.367674142,0.477728575
129,12.900,0.697022974,0.128412545,-0.036656331,0.455507964,0.859360397,0.382957518,0.476939142
130,13.000,0.697524548,0.127335593,-0.036653750,0.455521405,0.858975410,0.395925581,0.476935238
131,13.100,0.697880507,0.126353920,-0.036652673,0.455526978,0.859005928,0.403450727,0.477688193
132,13.200,0.698027849,0.124509871,-0.036652226,0.455529302,0.859851003,0.406419158,0.478000134
133,13.300,0.698088944,0.122383349,-0.036652043,0.455530256,0.860201895,0.405896842,0.478129596
134,13.400,0.698114157,0.121225961,-0.034694936,0.455530673,0.860346556,0.403188378,0.478183001
135,13.500,0.698124468,0.119230822,-0.027348028,0.455713660,0.860405743,0.401126146,0.478204846
136,13.600,0.698128700,0.117029108,-0.023199832,0.456452399,0.860430121,0.400277257,0.478213847
137,13.700,0.698130488,0.115105785,-0.020076901,0.456936419,0.860440195,0.399926424,0.478217572
138,13.800,0.698687851,0.113945827,-0.018527396,0.457135558,0.859769583,0.399782240,0.478711128
139,13.900,0.698525071,0.108074293,-0.017895019,0.458240956,0.858120024,0.400659382,0.478983730
140,14.000,0.698395014,0.103541337,-0.017616406,0.458732396,0.856645882,0.403393984,0.479033619
141,14.100,0.699086130,0.098363839,-0.017520661,0.458902001,0.855802953,0.414154083,0.478674024
142,14.200,0.699463904,0.091789611,-0.017481321,0.458971798,0.856476784,0.423892051,0.479238570
143,14.300,0.699705243,0.089112662,-0.017464949,0.459000856,0.856937528,0.434208274,0.479663253
144,14.400,0.699805915,0.088020816,-0.017458120,0.459013015,0.857972026,0.444355130,0.479840428
145,14.500,0.700534582,0.087577589,-0.017455300,0.459018022,0.858398855,0.456519961,0.479913533
146,14.600,0.702679217,0.087395638,-0.018189033,0.459020078,0.858394742,0.462195396,0.479943842
147,14.700,0.704110742,0.087319799,-0.018781180,0.459960043,0.858574867,0.464469224,0.479824096
148,14.800,0.704699934,0.087288514,-0.018181015,0.459641904,0.857807636,0.464879543,0.479906946
149,14.900,0.704960167,0.087274641,-0.017723307,0.459776491,0.856275618,0.463542879,0.479943782
150,15.000,0.705049992,0.087880485,-0.017564751,0.459150761,0.852642655,0.460621983,0.479956567
151,15.100,0.705087006,0.088544212,-0.017499398,0.457703888,0.850124657,0.450329930,0.480805904
152,15.200,0.705102265,0.088818133,-0.017472411,0.456081688,0.849009395,0.439779848,0.481441349
153,15.300,0.705108583,0.088931657,-0.017461210,0.453882933,0.848550975,0.429055393,0.482711792
154,15.400,0.705111206,0.088978566,-0.017456578,0.452175111,0.848362684,0.419600576,0.483337998
155,15.500,0.705112278,0.088998012,-0.017454656,0.448694199,0.848284900,0.414347410,0.483407289
156,15.600,0.705112755,0.089854181,-0.017453855,0.445910245,0.848252594,0.412024915,0.483436078
157,15.700,0.705112934,0.091418877,-0.017453523,0.443341434,0.848239303,0.411696464,0.483447909
158,15.800,0.705112994,0.093080416,-0.017453389,0.436640739,0.848233879,0.411159188,0.483452767
159,15.900,0.705112994,0.094795249,-0.017453332,0.432848364,0.848231614,0.410942912,0.483454794
160,16.000,0.705113053,0.095502019,-0.017453309,0.430770487,0.848230660,0.411088169,0.483455628
161,16.100,0.705113053,0.095812619,-0.017657058,0.429868698,0.848230243,0.410916746,0.483455986
162,16.200,0.705113053,0.095918663,-0.017537521,0.429377705,0.848230064,0.409971774,0.483456135
163,16.300,0.705113053,0.095962510,-0.017487952,0.425244093,0.848230004,0.405993640,0.483804762
164,16.400,0.705277979,0.096833751,-0.017467497,0.417021275,0.847600400,0.396683872,0.484630018
165,16.500,0.706209481,0.097367324,-0.017459132,0.410550535,0.846942604,0.384434879,0.485557109
166,16.600,0.706593335,0.099123172,-0.017455682,0.405061305,0.846671700,0.370949805,0.486380041
167,16.700,0.706749022,0.100363448,-0.017454280,0.400396347,0.846667051,0.356653869,0.487059832
168,16.800,0.706813157,0.100872420,-0.017453700,0.397399783,0.846644282,0.344853997,0.488019168
169,16.900,0.706839621,0.101081602,-0.017453462,0.394702435,0.846550822,0.334081560,0.488413930
170,17.000,0.706850648,0.102549173,-0.017453363,0.393515289,0.846511960,0.329430699,0.488577694
171,17.100,0.706855118,0.106136158,-0.017453322,0.392853856,0.846495986,0.326570392,0.488644689
172,17.200,0.706857026,0.109066844,-0.017453305,0.388561279,0.847228348,0.325420648,0.488181502
173,17.300,0.706857800,0.113093115,-0.017453298,0.385853231,0.847815096,0.324955046,0.487458497
174,17.400,0.706858099,0.116106659,-0.017453294,0.384746462,0.848057866,0.324764907,0.487159163
175,17.500,0.706858277,0.118571289,-0.017453294,0.384503931,0.848158598,0.324686527,0.487034947
176,17.600,0.706858337,0.121315502,-0.017453292,0.383428872,0.847191513,0.324651778,0.486979604
177,17.700,0.706858337,0.124621905,-0.017453292,0.381878763,0.846778214,0.324639767,0.486960471
178,17.800,0.706858337,0.127216011,-0.017453292,0.379845351,0.846606076,0.324817032,0.486212850
