sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
53,5.300000,0.696386397,-0.053981249,0.039451282,0.508803294,0.937114816,0.077369380,0.422290143
54,5.400000,0.696386397,-0.053986505,0.039455554,0.508928226,0.937120195,0.077243541,0.422293509
55,5.500000,0.696386397,-0.053991761,0.039459825,0.509053159,0.937125574,0.077117702,0.422296875
56,5.600000,0.696386397,-0.053997017,0.039464097,0.509178091,0.937130953,0.076991863,0.422300240
57,5.700000,0.696386397,-0.053991529,0.039454440,0.509279875,0.937134674,0.076873266,0.422302569
58,5.800000,0.696386397,-0.053976439,0.039432334,0.509360971,0.937136913,0.076761141,0.422303971
59,5.900000,0.696386397,-0.053961349,0.039410227,0.509442067,0.937139153,0.076649016,0.422305372
60,6.000000,0.696386397,-0.053946258,0.039388121,0.509523164,0.937141393,0.076536892,0.422306774
61,6.100000,0.696386397,-0.053931168,0.039366015,0.509604260,0.937143633,0.076424767,0.422308176
62,6.200000,0.696386397,-0.053916078,0.039343909,0.509685356,0.937145872,0.076312642,0.422309577
63,6.300000,0.696386397,-0.053900987,0.039321803,0.509766453,0.937148112,0.076200517,0.422310979
64,6.400000,0.696386397,-0.053885897,0.039299697,0.509847549,0.937150352,0.076088392,0.422312381
65,6.500000,0.696386397,-0.053870806,0.039277591,0.509928645,0.937152592,0.075976268,0.422313782
66,6.600000,0.696386397,-0.053855716,0.039255485,0.510009741,0.937154831,0.075864143,0.422315184
67,6.700000,0.696386397,-0.053840626,0.039233379,0.510090838,0.937157071,0.075752018,0.422316586
68,6.800000,0.696386397,-0.053825535,0.039211273,0.510171934,0.937159311,0.075639893,0.422317987
69,6.900000,0.696386397,-0.053810445,0.039189166,0.510253030,0.937161550,0.075527768,0.422319389
70,7.000000,0.696386397,-0.053795355,0.039167060,0.510334126,0.937163790,0.075415643,0.422320791
71,7.100000,0.696386397,-0.053780264,0.039144954,0.510415223,0.937166030,0.075303519,0.422322192
72,7.200000,0.696386397,-0.053765174,0.039122848,0.510496319,0.937168270,0.075191394,0.422323594
73,7.300000,0.696386397,-0.053750084,0.039100742,0.510577415,0.937170509,0.075079269,0.422324996
74,7.400000,0.696386397,-0.053734993,0.039078636,0.510658512,0.937172749,0.074967144,0.422326397
75,7.500000,0.696386397,-0.053719903,0.039056530,0.510739608,0.937174989,0.074855019,0.422327799
76,7.600000,0.696386397,-0.053704812,0.039034424,0.510820704,0.937177229,0.074742895,0.422329201
77,7.700000,0.696386397,-0.053689722,0.039012318,0.510901800,0.937179468,0.074630770,0.422330602
78,7.800000,0.696386397,-0.053674632,0.038990212,0.510982897,0.937181708,0.074518645,0.422332004
79,7.900000,0.696386397,-0.053659541,0.038968106,0.511063993,0.937183948,0.074406520,0.422333406
80,8.000000,0.696386397,-0.053644451,0.038945999,0.511145089,0.937186188,0.074294395,0.422334807
81,8.100000,0.696386397,-0.053629361,0.038923893,0.511226186,0.937188427,0.074182270,0.422336209
82,8.200000,0.696386397,-0.053614270,0.038901787,0.511307282,0.937190667,0.074070146,0.422337610
83,8.300000,0.696386397,-0.053599180,0.038879681,0.511388378,0.937192907,0.073958021,0.422339012
84,8.400000,0.696386397,-0.053584090,0.038857575,0.511469474,0.937195146,0.073845896,0.422340414
85,8.500000,0.696386397,-0.053566072,0.038839239,0.511536618,0.937197005,0.073753072,0.422341577
86,8.600000,0.696386397,-0.053540961,0.038830038,0.511569945,0.937197938,0.073707023,0.422342163
87,8.700000,0.696386397,-0.053515850,0.038820838,0.511603273,0.937198871,0.073660975,0.422342749
88,8.800000,0.696386397,-0.053490739,0.038811638,0.511636601,0.937199804,0.073614927,0.422343335
89,8.900000,0.696386397,-0.053465628,0.038802437,0.511669928,0.937200737,0.073568879,0.422343920
90,9.000000,0.696386397,-0.053440517,0.038793237,0.511703256,0.937201670,0.073522831,0.422344506
91,9.100000,0.696386397,-0.053415406,0.038784037,0.511736584,0.937202603,0.073476782,0.422345092
92,9.200000,0.696386397,-0.053390295,0.038774836,0.511769911,0.937203536,0.073430734,0.422345678
93,9.300000,0.696386397,-0.053365184,0.038765636,0.511803239,0.937204469,0.073384686,0.422346264
94,9.400000,0.696386397,-0.053340073,0.038756436,0.511836566,0.937205402,0.073338638,0.422346849
95,9.500000,0.696386397,-0.053314962,0.038747235,0.511869894,0.937206335,0.073292589,0.422347435
96,9.600000,0.696386397,-0.053289851,0.038738035,0.511903222,0.937207268,0.073246541,0.422348021
97,9.700000,0.696386397,-0.053264740,0.038728835,0.511936549,0.937208201,0.073200493,0.422348607
98,9.800000,0.696386397,-0.053239629,0.038719634,0.511969877,0.937209134,0.073154445,0.422349193
99,9.900000,0.696386397,-0.053214518,0.038710434,0.512003205,0.937210067,0.073108397,0.422349778
100,10.000000,0.696386397,-0.053189407,0.038701234,0.512036532,0.937211000,0.073062348,0.422350364
101,10.100000,0.696386397,-0.053164296,0.038692034,0.512069860,0.937211933,0.073016300,0.422350950
102,10.200000,0.696386397,-0.053139185,0.038682833,0.512103188,0.937212866,0.072970252,0.422351536
103,10.300000,0.696386397,-0.053114074,0.038673633,0.512136515,0.937213799,0.072924204,0.422352122
104,10.400000,0.696386397,-0.053088963,0.038664433,0.512169843,0.937214732,0.072878156,0.422352708
105,10.500000,0.696386397,-0.053063852,0.038655232,0.512203170,0.937215665,0.072832107,0.422353293
106,10.600000,0.696386397,-0.053038741,0.038646032,0.512236498,0.937216598,0.072786059,0.422353879
107,10.700000,0.696386397,-0.053013630,0.038636832,0.512269826,0.937217531,0.072740011,0.422354465
108,10.800000,0.696386397,-0.052988519,0.038627631,0.512303153,0.937218464,0.072693963,0.422355051
109,10.900000,0.696386397,-0.052963408,0.038618431,0.512336481,0.937219397,0.072647914,0.422355637
110,11.000000,0.696386397,-0.052938297,0.038609231,0.512369809,0.937220330,0.072601866,0.422356222
111,11.100000,0.696386397,-0.052913186,0.038600030,0.512403136,0.937221263,0.072555818,0.422356808
112,11.200000,0.696386397,-0.052888075,0.038590830,0.512436464,0.937222196,0.072509770,0.422357394
113,11.300000,0.696386397,-0.052863788,0.038579547,0.512468688,0.937223099,0.072463380,0.422357961
114,11.400000,0.696386397,-0.052853364,0.038533242,0.512482354,0.937223485,0.072411247,0.422358203
115,11.500000,0.696386397,-0.052842940,0.038486936,0.512496021,0.937223871,0.072359113,0.422358446
116,11.600000,0.696386397,-0.052832516,0.038440631,0.512509687,0.937224258,0.072306979,0.422358689
117,11.700000,0.696386397,-0.052822091,0.038394326,0.512523353,0.937224644,0.072254846,0.422358932
118,11.800000,0.696386397,-0.052811667,0.038348020,0.512537019,0.937225030,0.072202712,0.422359174
119,11.900000,0.696386397,-0.052801243,0.038301715,0.512550686,0.937225416,0.072150579,0.422359417
120,12.000000,0.696386397,-0.052790819,0.038255410,0.512564352,0.937225803,0.072098445,0.422359660
121,12.100000,0.696386397,-0.052780395,0.038209104,0.512578018,0.937226189,0.072046312,0.422359903
122,12.200000,0.696386397,-0.052769971,0.038162799,0.512591684,0.937226575,0.071994178,0.422360145
123,12.300000,0.696386397,-0.052759547,0.038116494,0.512605351,0.937226961,0.071942045,0.422360388
124,12.400000,0.696386397,-0.052749123,0.038070188,0.512619017,0.937227348,0.071889911,0.422360631
125,12.500000,0.696386397,-0.052738699,0.038023883,0.512632683,0.937227734,0.071837778,0.422360874
126,12.600000,0.696386397,-0.052728274,0.037977578,0.512646349,0.937228120,0.071785644,0.422361116
127,12.700000,0.696386397,-0.052717850,0.037931272,0.512660016,0.937228507,0.071733511,0.422361359
128,12.800000,0.696386397,-0.052707426,0.037884967,0.512673682,0.937228893,0.071681377,0.422361602
129,12.900000,0.696386397,-0.052697002,0.037838662,0.512687348,0.937229279,0.071629243,0.422361844
130,13.000000,0.696386397,-0.052686578,0.037792356,0.512701014,0.937229665,0.071577110,0.422362087
131,13.100000,0.696386397,-0.052676154,0.037746051,0.512714681,0.937230052,0.071524976,0.422362330
132,13.200000,0.696386397,-0.052665730,0.037699746,0.512728347,0.937230438,0.071472843,0.422362573
133,13.300000,0.696386397,-0.052655306,0.037653440,0.512742013,0.937230824,0.071420709,0.422362815
134,13.400000,0.696386397,-0.052644882,0.037607135,0.512755679,0.937231211,0.071368576,0.422363058
135,13.500000,0.696386397,-0.052634457,0.037560830,0.512769346,0.937231597,0.071316442,0.422363301
136,13.600000,0.696386397,-0.052624033,0.037514524,0.512783012,0.937231983,0.071264309,0.422363544
137,13.700000,0.696386397,-0.052613609,0.037468219,0.512796678,0.937232369,0.071212175,0.422363786
138,13.800000,0.696386397,-0.052603185,0.037421914,0.512810344,0.937232756,0.071160042,0.422364029
139,13.900000,0.696386397,-0.052592761,0.037375608,0.512824011,0.937233142,0.071107908,0.422364272
140,14.000000,0.696386397,-0.052582337,0.037329303,0.512837677,0.937233528,0.071055774,0.422364515
141,14.100000,0.696386397,-0.052571913,0.037282998,0.512851343,0.937233915,0.071003641,0.422364757
142,14.200000,0.696386397,-0.052566210,0.037178270,0.512858784,0.937234128,0.070972666,0.422364890
143,14.300000,0.696386397,-0.052561542,0.037060732,0.512864859,0.937234303,0.070946330,0.422364999
144,14.400000,0.696386397,-0.052556874,0.036943194,0.512870934,0.937234478,0.070919994,0.422365108
145,14.500000,0.696386397,-0.052552206,0.036825656,0.512877010,0.937234653,0.070893659,0.422365216
146,14.600000,0.696386397,-0.052547538,0.036708118,0.512883085,0.937234829,0.070867323,0.422365325
147,14.700000,0.696386397,-0.052542870,0.036590579,0.512889160,0.937235004,0.070840988,0.422365434
148,14.800000,0.696386397,-0.052538202,0.036473041,0.512895235,0.937235179,0.070814652,0.422365543
